Bremskraft [N];Drehzahl [RPM];Heizstrom [A];dHeizstrom [A];Heizspannung [V];dHeizspannung [V];Fläche [hPa cm^3]
0.80;240.0;13.10;0.25;11.80;0.15;26988
0.80;239.4;13.05;0.25;11.80;0.15;26788
0.80;280.0;13.10;0.25;11.81;0.15;26682
0.60;273.9;13.10;0.25;11.80;0.15;24086
0.60;273.3;13.10;0.25;11.80;0.15;24469
0.60;263.8;13.10;0.25;11.79;0.15;24578
0.35;314.5;13.05;0.25;11.80;0.15;23425
0.35;315.4;13.10;0.25;11.79;0.15;22658
0.35;316.5;13.05;0.25;11.79;0.15;22833
0.18;338.1;13.05;0.25;11.78;0.15;21513
0.18;337.9;13.05;0.25;11.78;0.15;21623
0.18;337.2;13.05;0.25;11.77;0.15;21188
